location_id,city_name,street_name,state_name
1,Los Angeles,Westridge,California
2,Mount Vernon,Meadow Vale,New York
3,Orlando,Bluejay,Florida
4,Oakland,Browning,California
5,Wichita,Walton,Kansas
6,Riverside,Sage,California
7,Philadelphia,Maywood,Pennsylvania
8,New York City,Mayer,New York
9,Boise,5th,Idaho
10,San Jose,Di Loreto,California
11,New York City,Rigney,New York
12,Van Nuys,Bultman,California
13,Washington,Hanover,District of Columbia
14,Van Nuys,Fuller,California
15,Jamaica,Victoria,New York
